C0023015,Disorder of language (Language Disorders),Mental or Behavioral Dysfunction,C2363430,Early stage [Temporal Concept],Temporal Concept,"Disorders in which normal patterns of language acquisition are
                  disturbed from the early stages of development."
C0454576,"Aphasia, Mixed",Mental or Behavioral Dysfunction,C1515273,Term (Term (temporal)) [Temporal Concept],Temporal Concept,"General categories include receptive, expressive, and mixed forms of aphasia.Impairment of the expression or comprehension of verbal and written language.Disorders of the quality of speech characterized by the substitution, omission, distortion, and addition of phonemes.Acquired or developmental conditions marked by an impaired ability to comprehend or generate spoken forms of language.A term referring to disorders characterized by the disruption of normal speech."
C0454576,"Aphasia, Mixed",Mental or Behavioral Dysfunction,C0008073,Developmental condition (Developmental Disabilities),Mental or Behavioral Dysfunction,"General categories include receptive, expressive, and mixed forms of aphasia.Impairment of the expression or comprehension of verbal and written language.Disorders of the quality of speech characterized by the substitution, omission, distortion, and addition of phonemes.Acquired or developmental conditions marked by an impaired ability to comprehend or generate spoken forms of language.A term referring to disorders characterized by the disruption of normal speech."
C0012634,Disorders (Disease),Disease or Syndrome,C1515273,Term (Term (temporal)) [Temporal Concept],Temporal Concept,"General categories include receptive, expressive, and mixed forms of aphasia.Impairment of the expression or comprehension of verbal and written language.Disorders of the quality of speech characterized by the substitution, omission, distortion, and addition of phonemes.Acquired or developmental conditions marked by an impaired ability to comprehend or generate spoken forms of language.A term referring to disorders characterized by the disruption of normal speech."
C0012634,Disorders (Disease),Disease or Syndrome,C0008073,Developmental condition (Developmental Disabilities),Mental or Behavioral Dysfunction,"General categories include receptive, expressive, and mixed forms of aphasia.Impairment of the expression or comprehension of verbal and written language.Disorders of the quality of speech characterized by the substitution, omission, distortion, and addition of phonemes.Acquired or developmental conditions marked by an impaired ability to comprehend or generate spoken forms of language.A term referring to disorders characterized by the disruption of normal speech."
C1515273,Term (Term (temporal)) [Temporal Concept],Temporal Concept,C0008073,Developmental condition (Developmental Disabilities),Mental or Behavioral Dysfunction,"General categories include receptive, expressive, and mixed forms of aphasia.Impairment of the expression or comprehension of verbal and written language.Disorders of the quality of speech characterized by the substitution, omission, distortion, and addition of phonemes.Acquired or developmental conditions marked by an impaired ability to comprehend or generate spoken forms of language.A term referring to disorders characterized by the disruption of normal speech."
C0042940,VOICE DISORDERS (Voice Disorders),Disease or Syndrome,C0009241,cognitive disorders (Cognition Disorders),Mental or Behavioral Dysfunction,"It includes stuttering, lisps, dysarthria and voice disorders.A group of cognitive disorders characterized by the inability to perform previously learned skills that cannot be attributed to deficits of motor or sensory function."
C0042940,VOICE DISORDERS (Voice Disorders),Disease or Syndrome,C0233728,lisps (Lisping),Mental or Behavioral Dysfunction,"It includes stuttering, lisps, dysarthria and voice disorders.A group of cognitive disorders characterized by the inability to perform previously learned skills that cannot be attributed to deficits of motor or sensory function."
C0042940,VOICE DISORDERS (Voice Disorders),Disease or Syndrome,C0013362,DYSARTHRIA (Dysarthria),Mental or Behavioral Dysfunction,"It includes stuttering, lisps, dysarthria and voice disorders.A group of cognitive disorders characterized by the inability to perform previously learned skills that cannot be attributed to deficits of motor or sensory function."
C0042940,VOICE DISORDERS (Voice Disorders),Disease or Syndrome,C0038506,STUTTERING (Stuttering),Mental or Behavioral Dysfunction,"It includes stuttering, lisps, dysarthria and voice disorders.A group of cognitive disorders characterized by the inability to perform previously learned skills that cannot be attributed to deficits of motor or sensory function."
C0009241,cognitive disorders (Cognition Disorders),Mental or Behavioral Dysfunction,C0233728,lisps (Lisping),Mental or Behavioral Dysfunction,"It includes stuttering, lisps, dysarthria and voice disorders.A group of cognitive disorders characterized by the inability to perform previously learned skills that cannot be attributed to deficits of motor or sensory function."
C0009241,cognitive disorders (Cognition Disorders),Mental or Behavioral Dysfunction,C0013362,DYSARTHRIA (Dysarthria),Mental or Behavioral Dysfunction,"It includes stuttering, lisps, dysarthria and voice disorders.A group of cognitive disorders characterized by the inability to perform previously learned skills that cannot be attributed to deficits of motor or sensory function."
C0009241,cognitive disorders (Cognition Disorders),Mental or Behavioral Dysfunction,C0038506,STUTTERING (Stuttering),Mental or Behavioral Dysfunction,"It includes stuttering, lisps, dysarthria and voice disorders.A group of cognitive disorders characterized by the inability to perform previously learned skills that cannot be attributed to deficits of motor or sensory function."
C0233728,lisps (Lisping),Mental or Behavioral Dysfunction,C0013362,DYSARTHRIA (Dysarthria),Mental or Behavioral Dysfunction,"It includes stuttering, lisps, dysarthria and voice disorders.A group of cognitive disorders characterized by the inability to perform previously learned skills that cannot be attributed to deficits of motor or sensory function."
C0233728,lisps (Lisping),Mental or Behavioral Dysfunction,C0038506,STUTTERING (Stuttering),Mental or Behavioral Dysfunction,"It includes stuttering, lisps, dysarthria and voice disorders.A group of cognitive disorders characterized by the inability to perform previously learned skills that cannot be attributed to deficits of motor or sensory function."
C0013362,DYSARTHRIA (Dysarthria),Mental or Behavioral Dysfunction,C0038506,STUTTERING (Stuttering),Mental or Behavioral Dysfunction,"It includes stuttering, lisps, dysarthria and voice disorders.A group of cognitive disorders characterized by the inability to perform previously learned skills that cannot be attributed to deficits of motor or sensory function."
C0234526,Ideational Apraxia,Mental or Behavioral Dysfunction,C0012634,condition (Disease),Disease or Syndrome,"The two major subtypes of this condition are ideomotor (see APRAXIA, IDEOMOTOR) and ideational apraxia, which refers to loss of the ability to mentally formulate the processes involved with performing an action."
C0234526,Ideational Apraxia,Mental or Behavioral Dysfunction,C0003635,APRAXIA (Apraxias),Mental or Behavioral Dysfunction,"The two major subtypes of this condition are ideomotor (see APRAXIA, IDEOMOTOR) and ideational apraxia, which refers to loss of the ability to mentally formulate the processes involved with performing an action."
C0012634,condition (Disease),Disease or Syndrome,C0003635,APRAXIA (Apraxias),Mental or Behavioral Dysfunction,"The two major subtypes of this condition are ideomotor (see APRAXIA, IDEOMOTOR) and ideational apraxia, which refers to loss of the ability to mentally formulate the processes involved with performing an action."
C0524528,Pervasive developmental disorders (Pervasive Development Disorder),Mental or Behavioral Dysfunction,C0012634,Disorder (Disease),Disease or Syndrome,pervasive developmental disorders A disorder characterized by an impairment in the development of an individual's expressive language which is in contrast to his/her nonverbal intellect and receptive language development.
C0524528,Pervasive developmental disorders (Pervasive Development Disorder),Mental or Behavioral Dysfunction,C1510586,Pervasive Developmental Disorders (Autism Spectrum Disorders),Mental or Behavioral Dysfunction,pervasive developmental disorders A disorder characterized by an impairment in the development of an individual's expressive language which is in contrast to his/her nonverbal intellect and receptive language development.
C0012634,Disorder (Disease),Disease or Syndrome,C1510586,Pervasive Developmental Disorders (Autism Spectrum Disorders),Mental or Behavioral Dysfunction,pervasive developmental disorders A disorder characterized by an impairment in the development of an individual's expressive language which is in contrast to his/her nonverbal intellect and receptive language development.
N C0008073,DEVELOPMENTAL DISORDERS (Developmental Disabilities),Mental or Behavioral Dysfunction,C0221505,brain lesion (Lesion of brain),Disease or Syndrome,"The impairment may be acquired (i.e., due to a brain lesion or head trauma) or developmental (i.e., no known neurological insult).A category of developmental disorders characterized by impaired communication and socialization skills."
C1510586,AUTISM SPECTRUM DISORDER (Autism Spectrum Disorders),Mental or Behavioral Dysfunction,C0019247,Genetic Condition (Hereditary Diseases),Disease or Syndrome,These disorders can be associated with general medical or genetic conditions.Autism spectrum disorder (ASD) is a neurological and developmental disorder that begins early in childhood and lasts throughout a person's life.
C1510586,AUTISM SPECTRUM DISORDER (Autism Spectrum Disorders),Mental or Behavioral Dysfunction,C0524528,Autism spectrum disorder (Pervasive Development Disorder),Mental or Behavioral Dysfunction,These disorders can be associated with general medical or genetic conditions.Autism spectrum disorder (ASD) is a neurological and developmental disorder that begins early in childhood and lasts throughout a person's life.
C1510586,AUTISM SPECTRUM DISORDER (Autism Spectrum Disorders),Mental or Behavioral Dysfunction,C0008073,Developmental Disorder (Developmental Disabilities),Mental or Behavioral Dysfunction,These disorders can be associated with general medical or genetic conditions.Autism spectrum disorder (ASD) is a neurological and developmental disorder that begins early in childhood and lasts throughout a person's life.
C1510586,AUTISM SPECTRUM DISORDER (Autism Spectrum Disorders),Mental or Behavioral Dysfunction,C0599196,childhood early (Early childhood) [Temporal Concept],Temporal Concept,These disorders can be associated with general medical or genetic conditions.Autism spectrum disorder (ASD) is a neurological and developmental disorder that begins early in childhood and lasts throughout a person's life.
C1510586,AUTISM SPECTRUM DISORDER (Autism Spectrum Disorders),Mental or Behavioral Dysfunction,C0012634,Disorders (Disease),Disease or Syndrome,These disorders can be associated with general medical or genetic conditions.Autism spectrum disorder (ASD) is a neurological and developmental disorder that begins early in childhood and lasts throughout a person's life.
C1510586,AUTISM SPECTRUM DISORDER (Autism Spectrum Disorders),Mental or Behavioral Dysfunction,C0439659,Begin (Beginning) [Temporal Concept],Temporal Concept,These disorders can be associated with general medical or genetic conditions.Autism spectrum disorder (ASD) is a neurological and developmental disorder that begins early in childhood and lasts throughout a person's life.
C0019247,Genetic Condition (Hereditary Diseases),Disease or Syndrome,C0524528,Autism spectrum disorder (Pervasive Development Disorder),Mental or Behavioral Dysfunction,These disorders can be associated with general medical or genetic conditions.Autism spectrum disorder (ASD) is a neurological and developmental disorder that begins early in childhood and lasts throughout a person's life.
C0019247,Genetic Condition (Hereditary Diseases),Disease or Syndrome,C0008073,Developmental Disorder (Developmental Disabilities),Mental or Behavioral Dysfunction,These disorders can be associated with general medical or genetic conditions.Autism spectrum disorder (ASD) is a neurological and developmental disorder that begins early in childhood and lasts throughout a person's life.
C0019247,Genetic Condition (Hereditary Diseases),Disease or Syndrome,C0599196,childhood early (Early childhood) [Temporal Concept],Temporal Concept,These disorders can be associated with general medical or genetic conditions.Autism spectrum disorder (ASD) is a neurological and developmental disorder that begins early in childhood and lasts throughout a person's life.
C0019247,Genetic Condition (Hereditary Diseases),Disease or Syndrome,C0012634,Disorders (Disease),Disease or Syndrome,These disorders can be associated with general medical or genetic conditions.Autism spectrum disorder (ASD) is a neurological and developmental disorder that begins early in childhood and lasts throughout a person's life.
C0019247,Genetic Condition (Hereditary Diseases),Disease or Syndrome,C0439659,Begin (Beginning) [Temporal Concept],Temporal Concept,These disorders can be associated with general medical or genetic conditions.Autism spectrum disorder (ASD) is a neurological and developmental disorder that begins early in childhood and lasts throughout a person's life.
C0524528,Autism spectrum disorder (Pervasive Development Disorder),Mental or Behavioral Dysfunction,C0008073,Developmental Disorder (Developmental Disabilities),Mental or Behavioral Dysfunction,These disorders can be associated with general medical or genetic conditions.Autism spectrum disorder (ASD) is a neurological and developmental disorder that begins early in childhood and lasts throughout a person's life.
C0524528,Autism spectrum disorder (Pervasive Development Disorder),Mental or Behavioral Dysfunction,C0599196,childhood early (Early childhood) [Temporal Concept],Temporal Concept,These disorders can be associated with general medical or genetic conditions.Autism spectrum disorder (ASD) is a neurological and developmental disorder that begins early in childhood and lasts throughout a person's life.
C0524528,Autism spectrum disorder (Pervasive Development Disorder),Mental or Behavioral Dysfunction,C0012634,Disorders (Disease),Disease or Syndrome,These disorders can be associated with general medical or genetic conditions.Autism spectrum disorder (ASD) is a neurological and developmental disorder that begins early in childhood and lasts throughout a person's life.
C0524528,Autism spectrum disorder (Pervasive Development Disorder),Mental or Behavioral Dysfunction,C0439659,Begin (Beginning) [Temporal Concept],Temporal Concept,These disorders can be associated with general medical or genetic conditions.Autism spectrum disorder (ASD) is a neurological and developmental disorder that begins early in childhood and lasts throughout a person's life.
C0008073,Developmental Disorder (Developmental Disabilities),Mental or Behavioral Dysfunction,C0599196,childhood early (Early childhood) [Temporal Concept],Temporal Concept,These disorders can be associated with general medical or genetic conditions.Autism spectrum disorder (ASD) is a neurological and developmental disorder that begins early in childhood and lasts throughout a person's life.
C0008073,Developmental Disorder (Developmental Disabilities),Mental or Behavioral Dysfunction,C0012634,Disorders (Disease),Disease or Syndrome,These disorders can be associated with general medical or genetic conditions.Autism spectrum disorder (ASD) is a neurological and developmental disorder that begins early in childhood and lasts throughout a person's life.
C0008073,Developmental Disorder (Developmental Disabilities),Mental or Behavioral Dysfunction,C0439659,Begin (Beginning) [Temporal Concept],Temporal Concept,These disorders can be associated with general medical or genetic conditions.Autism spectrum disorder (ASD) is a neurological and developmental disorder that begins early in childhood and lasts throughout a person's life.
C0599196,childhood early (Early childhood) [Temporal Concept],Temporal Concept,C0012634,Disorders (Disease),Disease or Syndrome,These disorders can be associated with general medical or genetic conditions.Autism spectrum disorder (ASD) is a neurological and developmental disorder that begins early in childhood and lasts throughout a person's life.
C0599196,childhood early (Early childhood) [Temporal Concept],Temporal Concept,C0439659,Begin (Beginning) [Temporal Concept],Temporal Concept,These disorders can be associated with general medical or genetic conditions.Autism spectrum disorder (ASD) is a neurological and developmental disorder that begins early in childhood and lasts throughout a person's life.
C0012634,Disorders (Disease),Disease or Syndrome,C0439659,Begin (Beginning) [Temporal Concept],Temporal Concept,These disorders can be associated with general medical or genetic conditions.Autism spectrum disorder (ASD) is a neurological and developmental disorder that begins early in childhood and lasts throughout a person's life.
C0524528,Pervasive developmental disorders (Pervasive Development Disorder),Mental or Behavioral Dysfunction,C0236792,Asperger's Syndrome (Asperger Syndrome),Mental or Behavioral Dysfunction,It includes what used to be known as Asperger syndrome and pervasive developmental disorders.
C0524528,Pervasive developmental disorders (Pervasive Development Disorder),Mental or Behavioral Dysfunction,C1510586,Pervasive Developmental Disorders (Autism Spectrum Disorders),Mental or Behavioral Dysfunction,It includes what used to be known as Asperger syndrome and pervasive developmental disorders.
C0236792,Asperger's Syndrome (Asperger Syndrome),Mental or Behavioral Dysfunction,C1510586,Pervasive Developmental Disorders (Autism Spectrum Disorders),Mental or Behavioral Dysfunction,It includes what used to be known as Asperger syndrome and pervasive developmental disorders.
C1510586,ASD (Autism Spectrum Disorders),Mental or Behavioral Dysfunction,C0856975,ASD (Autistic behavior),Mental or Behavioral Dysfunction,"It is called a ""spectrum"" disorder because people with ASD can have a range of symptoms."
C1510586,ASD (Autism Spectrum Disorders),Mental or Behavioral Dysfunction,C0012634,Disorder (Disease),Disease or Syndrome,"It is called a ""spectrum"" disorder because people with ASD can have a range of symptoms."
C1510586,ASD (Autism Spectrum Disorders),Mental or Behavioral Dysfunction,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"It is called a ""spectrum"" disorder because people with ASD can have a range of symptoms."
C0856975,ASD (Autistic behavior),Mental or Behavioral Dysfunction,C0012634,Disorder (Disease),Disease or Syndrome,"It is called a ""spectrum"" disorder because people with ASD can have a range of symptoms."
C0856975,ASD (Autistic behavior),Mental or Behavioral Dysfunction,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"It is called a ""spectrum"" disorder because people with ASD can have a range of symptoms."
C0012634,Disorder (Disease),Disease or Syndrome,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"It is called a ""spectrum"" disorder because people with ASD can have a range of symptoms."
C1510586,ASD (Autism Spectrum Disorders),Mental or Behavioral Dysfunction,C0856975,ASD (Autistic behavior),Mental or Behavioral Dysfunction,"People with ASD might have problems talking with you, or they might not look you in the eye when you talk to them."
C0040223,TIME (Time) [Temporal Concept],Temporal Concept,C3541383,Time (Time (foundation metadata concept)) [Temporal Concept],Temporal Concept,"They may spend a lot of time putting things in order, or they may say the same sentence again and again."
C1510586,ASD (Autism Spectrum Disorders),Mental or Behavioral Dysfunction,C0856975,ASD (Autistic behavior),Mental or Behavioral Dysfunction,"If there are signs of ASD, your child will have a comprehensive evaluation."
C1510586,ASD (Autism Spectrum Disorders),Mental or Behavioral Dysfunction,C0856975,ASD (Autistic behavior),Mental or Behavioral Dysfunction,The causes of ASD are not known.
N C0856975,ASD (Autistic behavior),Mental or Behavioral Dysfunction,N C1510586,ASD (Autism Spectrum Disorders),Mental or Behavioral Dysfunction,There is currently no one standard treatment for ASD.
N C0856975,ASD (Autistic behavior),Mental or Behavioral Dysfunction,C0521116,Currently (Current (present time)) [Temporal Concept],Temporal Concept,There is currently no one standard treatment for ASD.
N C1510586,ASD (Autism Spectrum Disorders),Mental or Behavioral Dysfunction,C0521116,Currently (Current (present time)) [Temporal Concept],Temporal Concept,There is currently no one standard treatment for ASD.
C1279919,Early [Temporal Concept],Temporal Concept,C0439659,Start (Beginning) [Temporal Concept],Temporal Concept,Starting them early can lead to better results.
C0035372,Rett's syndrome (Rett Syndrome),Disease or Syndrome,C0004352,AUTISM (Autistic Disorder),Mental or Behavioral Dysfunction,"NIH: National Institute of Child Health and Human DevelopmentA spectrum of developmental disorders that includes autism, Asperger syndrome, and Rett syndrome."
C0035372,Rett's syndrome (Rett Syndrome),Disease or Syndrome,C0236792,Asperger's Syndrome (Asperger Syndrome),Mental or Behavioral Dysfunction,"NIH: National Institute of Child Health and Human DevelopmentA spectrum of developmental disorders that includes autism, Asperger syndrome, and Rett syndrome."
C0035372,Rett's syndrome (Rett Syndrome),Disease or Syndrome,C0008073,DEVELOPMENTAL DISORDERS (Developmental Disabilities),Mental or Behavioral Dysfunction,"NIH: National Institute of Child Health and Human DevelopmentA spectrum of developmental disorders that includes autism, Asperger syndrome, and Rett syndrome."
C0004352,AUTISM (Autistic Disorder),Mental or Behavioral Dysfunction,C0236792,Asperger's Syndrome (Asperger Syndrome),Mental or Behavioral Dysfunction,"NIH: National Institute of Child Health and Human DevelopmentA spectrum of developmental disorders that includes autism, Asperger syndrome, and Rett syndrome."
C0004352,AUTISM (Autistic Disorder),Mental or Behavioral Dysfunction,C0008073,DEVELOPMENTAL DISORDERS (Developmental Disabilities),Mental or Behavioral Dysfunction,"NIH: National Institute of Child Health and Human DevelopmentA spectrum of developmental disorders that includes autism, Asperger syndrome, and Rett syndrome."
C0236792,Asperger's Syndrome (Asperger Syndrome),Mental or Behavioral Dysfunction,C0008073,DEVELOPMENTAL DISORDERS (Developmental Disabilities),Mental or Behavioral Dysfunction,"NIH: National Institute of Child Health and Human DevelopmentA spectrum of developmental disorders that includes autism, Asperger syndrome, and Rett syndrome."
C0012634,Disorders (Disease),Disease or Syndrome,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"Signs and symptoms include poor communication skills, defective social interactions, and repetitive behaviors.Neurodevelopmental disorders presenting in childhood with classic symptoms of impairment in verbal and nonverbal communication, social interactions, and/or imaginative play.Wide continuum of associated cognitive and neurobehavioral disorders, including, but not limited to, three core-defining features: impairments in socialization, impairments in verbal and nonverbal communication, and restricted and repetitive patterns of behaviors."
C0012634,Disorders (Disease),Disease or Syndrome,C1535926,Neurodevelopmental Disorders,Mental or Behavioral Dysfunction,"Signs and symptoms include poor communication skills, defective social interactions, and repetitive behaviors.Neurodevelopmental disorders presenting in childhood with classic symptoms of impairment in verbal and nonverbal communication, social interactions, and/or imaginative play.Wide continuum of associated cognitive and neurobehavioral disorders, including, but not limited to, three core-defining features: impairments in socialization, impairments in verbal and nonverbal communication, and restricted and repetitive patterns of behaviors."
C0012634,Disorders (Disease),Disease or Syndrome,C0231335,Childhood [Temporal Concept],Temporal Concept,"Signs and symptoms include poor communication skills, defective social interactions, and repetitive behaviors.Neurodevelopmental disorders presenting in childhood with classic symptoms of impairment in verbal and nonverbal communication, social interactions, and/or imaginative play.Wide continuum of associated cognitive and neurobehavioral disorders, including, but not limited to, three core-defining features: impairments in socialization, impairments in verbal and nonverbal communication, and restricted and repetitive patterns of behaviors."
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C1535926,Neurodevelopmental Disorders,Mental or Behavioral Dysfunction,"Signs and symptoms include poor communication skills, defective social interactions, and repetitive behaviors.Neurodevelopmental disorders presenting in childhood with classic symptoms of impairment in verbal and nonverbal communication, social interactions, and/or imaginative play.Wide continuum of associated cognitive and neurobehavioral disorders, including, but not limited to, three core-defining features: impairments in socialization, impairments in verbal and nonverbal communication, and restricted and repetitive patterns of behaviors."
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C0231335,Childhood [Temporal Concept],Temporal Concept,"Signs and symptoms include poor communication skills, defective social interactions, and repetitive behaviors.Neurodevelopmental disorders presenting in childhood with classic symptoms of impairment in verbal and nonverbal communication, social interactions, and/or imaginative play.Wide continuum of associated cognitive and neurobehavioral disorders, including, but not limited to, three core-defining features: impairments in socialization, impairments in verbal and nonverbal communication, and restricted and repetitive patterns of behaviors."
C1535926,Neurodevelopmental Disorders,Mental or Behavioral Dysfunction,C0231335,Childhood [Temporal Concept],Temporal Concept,"Signs and symptoms include poor communication skills, defective social interactions, and repetitive behaviors.Neurodevelopmental disorders presenting in childhood with classic symptoms of impairment in verbal and nonverbal communication, social interactions, and/or imaginative play.Wide continuum of associated cognitive and neurobehavioral disorders, including, but not limited to, three core-defining features: impairments in socialization, impairments in verbal and nonverbal communication, and restricted and repetitive patterns of behaviors."
C0018790,arrested (Cardiac Arrest),Disease or Syndrome,C0012634,condition (Disease),Disease or Syndrome,"mental retardation A developmental disorder characterized by less than average intelligence and significant limitations in adaptive behavior with onset before the age of 18.A condition of arrested or incomplete development of the mind, which is especially characterized by impairment of skills manifested during the developmental period, which contribute to the overall level of intelligence, i.e."
C0018790,arrested (Cardiac Arrest),Disease or Syndrome,C0008073,Developmental Disorder (Developmental Disabilities),Mental or Behavioral Dysfunction,"mental retardation A developmental disorder characterized by less than average intelligence and significant limitations in adaptive behavior with onset before the age of 18.A condition of arrested or incomplete development of the mind, which is especially characterized by impairment of skills manifested during the developmental period, which contribute to the overall level of intelligence, i.e."
C0018790,arrested (Cardiac Arrest),Disease or Syndrome,C3714756,Mental retardation (Intellectual Disability),Mental or Behavioral Dysfunction,"mental retardation A developmental disorder characterized by less than average intelligence and significant limitations in adaptive behavior with onset before the age of 18.A condition of arrested or incomplete development of the mind, which is especially characterized by impairment of skills manifested during the developmental period, which contribute to the overall level of intelligence, i.e."
C0018790,arrested (Cardiac Arrest),Disease or Syndrome,C0237477,Arrested (Arrested progression) [Temporal Concept],Temporal Concept,"mental retardation A developmental disorder characterized by less than average intelligence and significant limitations in adaptive behavior with onset before the age of 18.A condition of arrested or incomplete development of the mind, which is especially characterized by impairment of skills manifested during the developmental period, which contribute to the overall level of intelligence, i.e."
C0018790,arrested (Cardiac Arrest),Disease or Syndrome,C0025362,MENTAL RETARDATION (Mental Retardation),Mental or Behavioral Dysfunction,"mental retardation A developmental disorder characterized by less than average intelligence and significant limitations in adaptive behavior with onset before the age of 18.A condition of arrested or incomplete development of the mind, which is especially characterized by impairment of skills manifested during the developmental period, which contribute to the overall level of intelligence, i.e."
C0012634,condition (Disease),Disease or Syndrome,C0008073,Developmental Disorder (Developmental Disabilities),Mental or Behavioral Dysfunction,"mental retardation A developmental disorder characterized by less than average intelligence and significant limitations in adaptive behavior with onset before the age of 18.A condition of arrested or incomplete development of the mind, which is especially characterized by impairment of skills manifested during the developmental period, which contribute to the overall level of intelligence, i.e."
C0012634,condition (Disease),Disease or Syndrome,C3714756,Mental retardation (Intellectual Disability),Mental or Behavioral Dysfunction,"mental retardation A developmental disorder characterized by less than average intelligence and significant limitations in adaptive behavior with onset before the age of 18.A condition of arrested or incomplete development of the mind, which is especially characterized by impairment of skills manifested during the developmental period, which contribute to the overall level of intelligence, i.e."
C0012634,condition (Disease),Disease or Syndrome,C0237477,Arrested (Arrested progression) [Temporal Concept],Temporal Concept,"mental retardation A developmental disorder characterized by less than average intelligence and significant limitations in adaptive behavior with onset before the age of 18.A condition of arrested or incomplete development of the mind, which is especially characterized by impairment of skills manifested during the developmental period, which contribute to the overall level of intelligence, i.e."
C0012634,condition (Disease),Disease or Syndrome,C0025362,MENTAL RETARDATION (Mental Retardation),Mental or Behavioral Dysfunction,"mental retardation A developmental disorder characterized by less than average intelligence and significant limitations in adaptive behavior with onset before the age of 18.A condition of arrested or incomplete development of the mind, which is especially characterized by impairment of skills manifested during the developmental period, which contribute to the overall level of intelligence, i.e."
C0008073,Developmental Disorder (Developmental Disabilities),Mental or Behavioral Dysfunction,C3714756,Mental retardation (Intellectual Disability),Mental or Behavioral Dysfunction,"mental retardation A developmental disorder characterized by less than average intelligence and significant limitations in adaptive behavior with onset before the age of 18.A condition of arrested or incomplete development of the mind, which is especially characterized by impairment of skills manifested during the developmental period, which contribute to the overall level of intelligence, i.e."
C0008073,Developmental Disorder (Developmental Disabilities),Mental or Behavioral Dysfunction,C0237477,Arrested (Arrested progression) [Temporal Concept],Temporal Concept,"mental retardation A developmental disorder characterized by less than average intelligence and significant limitations in adaptive behavior with onset before the age of 18.A condition of arrested or incomplete development of the mind, which is especially characterized by impairment of skills manifested during the developmental period, which contribute to the overall level of intelligence, i.e."
C0008073,Developmental Disorder (Developmental Disabilities),Mental or Behavioral Dysfunction,C0025362,MENTAL RETARDATION (Mental Retardation),Mental or Behavioral Dysfunction,"mental retardation A developmental disorder characterized by less than average intelligence and significant limitations in adaptive behavior with onset before the age of 18.A condition of arrested or incomplete development of the mind, which is especially characterized by impairment of skills manifested during the developmental period, which contribute to the overall level of intelligence, i.e."
C3714756,Mental retardation (Intellectual Disability),Mental or Behavioral Dysfunction,C0237477,Arrested (Arrested progression) [Temporal Concept],Temporal Concept,"mental retardation A developmental disorder characterized by less than average intelligence and significant limitations in adaptive behavior with onset before the age of 18.A condition of arrested or incomplete development of the mind, which is especially characterized by impairment of skills manifested during the developmental period, which contribute to the overall level of intelligence, i.e."
C3714756,Mental retardation (Intellectual Disability),Mental or Behavioral Dysfunction,C0025362,MENTAL RETARDATION (Mental Retardation),Mental or Behavioral Dysfunction,"mental retardation A developmental disorder characterized by less than average intelligence and significant limitations in adaptive behavior with onset before the age of 18.A condition of arrested or incomplete development of the mind, which is especially characterized by impairment of skills manifested during the developmental period, which contribute to the overall level of intelligence, i.e."
C0237477,Arrested (Arrested progression) [Temporal Concept],Temporal Concept,C0025362,MENTAL RETARDATION (Mental Retardation),Mental or Behavioral Dysfunction,"mental retardation A developmental disorder characterized by less than average intelligence and significant limitations in adaptive behavior with onset before the age of 18.A condition of arrested or incomplete development of the mind, which is especially characterized by impairment of skills manifested during the developmental period, which contribute to the overall level of intelligence, i.e."
C0236791,Childhood Disintegrative Disorder (Childhood disintegrative disorder),Mental or Behavioral Dysfunction,C0439234,YEARS (year) [Temporal Concept],Temporal Concept,"aphasia (due to):
                
                    NOS (R47.0)
                  
                    autism 
                  
                    disintegrative disorders of childhood A syndrome characterized by the onset of isolated language dysfunction in otherwise normal children (age of onset 4-7 years) and epileptiform discharges on ELECTROENCEPHALOGRAPHY."
C0236791,Childhood Disintegrative Disorder (Childhood disintegrative disorder),Mental or Behavioral Dysfunction,C0004352,AUTISM (Autistic Disorder),Mental or Behavioral Dysfunction,"aphasia (due to):
                
                    NOS (R47.0)
                  
                    autism 
                  
                    disintegrative disorders of childhood A syndrome characterized by the onset of isolated language dysfunction in otherwise normal children (age of onset 4-7 years) and epileptiform discharges on ELECTROENCEPHALOGRAPHY."
C0236791,Childhood Disintegrative Disorder (Childhood disintegrative disorder),Mental or Behavioral Dysfunction,C0003537,APHASIA (Aphasia),Mental or Behavioral Dysfunction,"aphasia (due to):
                
                    NOS (R47.0)
                  
                    autism 
                  
                    disintegrative disorders of childhood A syndrome characterized by the onset of isolated language dysfunction in otherwise normal children (age of onset 4-7 years) and epileptiform discharges on ELECTROENCEPHALOGRAPHY."
C0236791,Childhood Disintegrative Disorder (Childhood disintegrative disorder),Mental or Behavioral Dysfunction,C0039082,Syndrome,Disease or Syndrome,"aphasia (due to):
                
                    NOS (R47.0)
                  
                    autism 
                  
                    disintegrative disorders of childhood A syndrome characterized by the onset of isolated language dysfunction in otherwise normal children (age of onset 4-7 years) and epileptiform discharges on ELECTROENCEPHALOGRAPHY."
