C0002395,ALZHEIMER DISEASE (Alzheimer's Disease),Disease or Syndrome,C0234387,Cerebral Disease (Cerebral disorder),Disease or Syndrome,  Alzheimer disease is a primary degenerative cerebral disease of unknown etiology with characteristic neuropathological and neurochemical features.
C4082769,Chronic Traumatic Encephalopathy,Disease or Syndrome,C0020179,huntingtons disease (Huntington Disease),Disease or Syndrome,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C4082769,Chronic Traumatic Encephalopathy,Disease or Syndrome,C4280575,Progressive brain disease,Disease or Syndrome,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C4082769,Chronic Traumatic Encephalopathy,Disease or Syndrome,C0001849,dementia HIV (AIDS Dementia Complex),Disease or Syndrome,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C4082769,Chronic Traumatic Encephalopathy,Disease or Syndrome,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C4082769,Chronic Traumatic Encephalopathy,Disease or Syndrome,C0012634,condition (Disease),Disease or Syndrome,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C4082769,Chronic Traumatic Encephalopathy,Disease or Syndrome,C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C4082769,Chronic Traumatic Encephalopathy,Disease or Syndrome,C0006111,BRAIN DISORDER (NOS) (Brain Diseases),Disease or Syndrome,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C4082769,Chronic Traumatic Encephalopathy,Disease or Syndrome,C0521114,Rare (Infrequent) [Temporal Concept],Temporal Concept,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C4082769,Chronic Traumatic Encephalopathy,Disease or Syndrome,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C0678236,Rare Disorder (Rare Diseases),Disease or Syndrome,C0022336,Creutzfeldt-Jacob Disease (Creutzfeldt-Jakob disease),Disease or Syndrome,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C0678236,Rare Disorder (Rare Diseases),Disease or Syndrome,C0020179,huntingtons disease (Huntington Disease),Disease or Syndrome,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C0678236,Rare Disorder (Rare Diseases),Disease or Syndrome,C4280575,Progressive brain disease,Disease or Syndrome,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C0678236,Rare Disorder (Rare Diseases),Disease or Syndrome,C0001849,dementia HIV (AIDS Dementia Complex),Disease or Syndrome,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C0678236,Rare Disorder (Rare Diseases),Disease or Syndrome,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C0678236,Rare Disorder (Rare Diseases),Disease or Syndrome,C0012634,condition (Disease),Disease or Syndrome,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C0678236,Rare Disorder (Rare Diseases),Disease or Syndrome,C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C0678236,Rare Disorder (Rare Diseases),Disease or Syndrome,C0006111,BRAIN DISORDER (NOS) (Brain Diseases),Disease or Syndrome,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C0678236,Rare Disorder (Rare Diseases),Disease or Syndrome,C0521114,Rare (Infrequent) [Temporal Concept],Temporal Concept,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C0678236,Rare Disorder (Rare Diseases),Disease or Syndrome,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C0022336,Creutzfeldt-Jacob Disease (Creutzfeldt-Jakob disease),Disease or Syndrome,C0020179,huntingtons disease (Huntington Disease),Disease or Syndrome,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C0022336,Creutzfeldt-Jacob Disease (Creutzfeldt-Jakob disease),Disease or Syndrome,C4280575,Progressive brain disease,Disease or Syndrome,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C0022336,Creutzfeldt-Jacob Disease (Creutzfeldt-Jakob disease),Disease or Syndrome,C0001849,dementia HIV (AIDS Dementia Complex),Disease or Syndrome,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C0022336,Creutzfeldt-Jacob Disease (Creutzfeldt-Jakob disease),Disease or Syndrome,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C0022336,Creutzfeldt-Jacob Disease (Creutzfeldt-Jakob disease),Disease or Syndrome,C0012634,condition (Disease),Disease or Syndrome,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C0022336,Creutzfeldt-Jacob Disease (Creutzfeldt-Jakob disease),Disease or Syndrome,C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C0022336,Creutzfeldt-Jacob Disease (Creutzfeldt-Jakob disease),Disease or Syndrome,C0006111,BRAIN DISORDER (NOS) (Brain Diseases),Disease or Syndrome,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C0022336,Creutzfeldt-Jacob Disease (Creutzfeldt-Jakob disease),Disease or Syndrome,C0521114,Rare (Infrequent) [Temporal Concept],Temporal Concept,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C0022336,Creutzfeldt-Jacob Disease (Creutzfeldt-Jakob disease),Disease or Syndrome,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C0020179,huntingtons disease (Huntington Disease),Disease or Syndrome,C4280575,Progressive brain disease,Disease or Syndrome,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C0020179,huntingtons disease (Huntington Disease),Disease or Syndrome,C0001849,dementia HIV (AIDS Dementia Complex),Disease or Syndrome,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C0020179,huntingtons disease (Huntington Disease),Disease or Syndrome,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C0020179,huntingtons disease (Huntington Disease),Disease or Syndrome,C0012634,condition (Disease),Disease or Syndrome,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C0020179,huntingtons disease (Huntington Disease),Disease or Syndrome,C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C0020179,huntingtons disease (Huntington Disease),Disease or Syndrome,C0006111,BRAIN DISORDER (NOS) (Brain Diseases),Disease or Syndrome,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C0020179,huntingtons disease (Huntington Disease),Disease or Syndrome,C0521114,Rare (Infrequent) [Temporal Concept],Temporal Concept,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C0020179,huntingtons disease (Huntington Disease),Disease or Syndrome,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C4280575,Progressive brain disease,Disease or Syndrome,C0001849,dementia HIV (AIDS Dementia Complex),Disease or Syndrome,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C4280575,Progressive brain disease,Disease or Syndrome,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C4280575,Progressive brain disease,Disease or Syndrome,C0012634,condition (Disease),Disease or Syndrome,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C4280575,Progressive brain disease,Disease or Syndrome,C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C4280575,Progressive brain disease,Disease or Syndrome,C0006111,BRAIN DISORDER (NOS) (Brain Diseases),Disease or Syndrome,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C4280575,Progressive brain disease,Disease or Syndrome,C0521114,Rare (Infrequent) [Temporal Concept],Temporal Concept,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C4280575,Progressive brain disease,Disease or Syndrome,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C0001849,dementia HIV (AIDS Dementia Complex),Disease or Syndrome,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C0001849,dementia HIV (AIDS Dementia Complex),Disease or Syndrome,C0012634,condition (Disease),Disease or Syndrome,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C0001849,dementia HIV (AIDS Dementia Complex),Disease or Syndrome,C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C0001849,dementia HIV (AIDS Dementia Complex),Disease or Syndrome,C0006111,BRAIN DISORDER (NOS) (Brain Diseases),Disease or Syndrome,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C0001849,dementia HIV (AIDS Dementia Complex),Disease or Syndrome,C0521114,Rare (Infrequent) [Temporal Concept],Temporal Concept,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C0001849,dementia HIV (AIDS Dementia Complex),Disease or Syndrome,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C0012634,condition (Disease),Disease or Syndrome,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C0006111,BRAIN DISORDER (NOS) (Brain Diseases),Disease or Syndrome,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C0521114,Rare (Infrequent) [Temporal Concept],Temporal Concept,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C0012634,condition (Disease),Disease or Syndrome,C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C0012634,condition (Disease),Disease or Syndrome,C0006111,BRAIN DISORDER (NOS) (Brain Diseases),Disease or Syndrome,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C0012634,condition (Disease),Disease or Syndrome,C0521114,Rare (Infrequent) [Temporal Concept],Temporal Concept,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C0012634,condition (Disease),Disease or Syndrome,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,C0006111,BRAIN DISORDER (NOS) (Brain Diseases),Disease or Syndrome,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,C0521114,Rare (Infrequent) [Temporal Concept],Temporal Concept,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C0006111,BRAIN DISORDER (NOS) (Brain Diseases),Disease or Syndrome,C0521114,Rare (Infrequent) [Temporal Concept],Temporal Concept,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C0006111,BRAIN DISORDER (NOS) (Brain Diseases),Disease or Syndrome,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C0521114,Rare (Infrequent) [Temporal Concept],Temporal Concept,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,"Certain factors can raise your risk for developing dementia, including  Aging."
C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,This is the biggest risk factor for dementia.
C0011847,Diabetes,Disease or Syndrome,C0011849,Diabetes (Diabetes Mellitus),Disease or Syndrome,Smoking Uncontrolled diabetes High blood pressure Drinking too much alcohol Having close family members who have dementia  What are the symptoms of dementia?
C0011847,Diabetes,Disease or Syndrome,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,Smoking Uncontrolled diabetes High blood pressure Drinking too much alcohol Having close family members who have dementia  What are the symptoms of dementia?
C0011847,Diabetes,Disease or Syndrome,C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,Smoking Uncontrolled diabetes High blood pressure Drinking too much alcohol Having close family members who have dementia  What are the symptoms of dementia?
C0011847,Diabetes,Disease or Syndrome,C1868885,Uncontrolled High blood pressure (Uncontrolled arterial hypertension),Disease or Syndrome,Smoking Uncontrolled diabetes High blood pressure Drinking too much alcohol Having close family members who have dementia  What are the symptoms of dementia?
C0011847,Diabetes,Disease or Syndrome,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,Smoking Uncontrolled diabetes High blood pressure Drinking too much alcohol Having close family members who have dementia  What are the symptoms of dementia?
C0011849,Diabetes (Diabetes Mellitus),Disease or Syndrome,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,Smoking Uncontrolled diabetes High blood pressure Drinking too much alcohol Having close family members who have dementia  What are the symptoms of dementia?
C0011849,Diabetes (Diabetes Mellitus),Disease or Syndrome,C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,Smoking Uncontrolled diabetes High blood pressure Drinking too much alcohol Having close family members who have dementia  What are the symptoms of dementia?
C0011849,Diabetes (Diabetes Mellitus),Disease or Syndrome,C1868885,Uncontrolled High blood pressure (Uncontrolled arterial hypertension),Disease or Syndrome,Smoking Uncontrolled diabetes High blood pressure Drinking too much alcohol Having close family members who have dementia  What are the symptoms of dementia?
C0011849,Diabetes (Diabetes Mellitus),Disease or Syndrome,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,Smoking Uncontrolled diabetes High blood pressure Drinking too much alcohol Having close family members who have dementia  What are the symptoms of dementia?
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,Smoking Uncontrolled diabetes High blood pressure Drinking too much alcohol Having close family members who have dementia  What are the symptoms of dementia?
