C0332239,Young [Temporal Concept],Temporal Concept,C0580836,Old [Temporal Concept],Temporal Concept,"It occurs most commonly inadolescent girls and young women, but adolescent boys andyoung men may also be affected, as may children approachingpuberty and older women up to the menopause."
C0851578,SLEEP DISORDER (Sleep Disorders),Mental or Behavioral Dysfunction,C0030508,Parasomnia,Disease or Syndrome,"Parasomnia - acting in unusual ways while falling asleep, sleeping, or waking from sleep, such as walking, talking, or eating  Some people who feel tired during the day have a true sleep disorder."
C0851578,SLEEP DISORDER (Sleep Disorders),Mental or Behavioral Dysfunction,C0439505,/day (per day) [Temporal Concept],Temporal Concept,"Parasomnia - acting in unusual ways while falling asleep, sleeping, or waking from sleep, such as walking, talking, or eating  Some people who feel tired during the day have a true sleep disorder."
C0851578,SLEEP DISORDER (Sleep Disorders),Mental or Behavioral Dysfunction,C0439228,Day (day) [Temporal Concept],Temporal Concept,"Parasomnia - acting in unusual ways while falling asleep, sleeping, or waking from sleep, such as walking, talking, or eating  Some people who feel tired during the day have a true sleep disorder."
C0851578,parasomnia (Sleep Disorders),Mental or Behavioral Dysfunction,C0332173,/day (Daily) [Temporal Concept],Temporal Concept,"Parasomnia - acting in unusual ways while falling asleep, sleeping, or waking from sleep, such as walking, talking, or eating  Some people who feel tired during the day have a true sleep disorder."
C0851578,parasomnia (Sleep Disorders),Mental or Behavioral Dysfunction,C0015672,Tired (Fatigue),Sign or Symptom,"Parasomnia - acting in unusual ways while falling asleep, sleeping, or waking from sleep, such as walking, talking, or eating  Some people who feel tired during the day have a true sleep disorder."
C0851578,parasomnia (Sleep Disorders),Mental or Behavioral Dysfunction,C0030508,Parasomnia,Disease or Syndrome,"Parasomnia - acting in unusual ways while falling asleep, sleeping, or waking from sleep, such as walking, talking, or eating  Some people who feel tired during the day have a true sleep disorder."
C0851578,parasomnia (Sleep Disorders),Mental or Behavioral Dysfunction,C0439505,/day (per day) [Temporal Concept],Temporal Concept,"Parasomnia - acting in unusual ways while falling asleep, sleeping, or waking from sleep, such as walking, talking, or eating  Some people who feel tired during the day have a true sleep disorder."
C0851578,parasomnia (Sleep Disorders),Mental or Behavioral Dysfunction,C0439228,Day (day) [Temporal Concept],Temporal Concept,"Parasomnia - acting in unusual ways while falling asleep, sleeping, or waking from sleep, such as walking, talking, or eating  Some people who feel tired during the day have a true sleep disorder."
C0332173,/day (Daily) [Temporal Concept],Temporal Concept,C0015672,Tired (Fatigue),Sign or Symptom,"Parasomnia - acting in unusual ways while falling asleep, sleeping, or waking from sleep, such as walking, talking, or eating  Some people who feel tired during the day have a true sleep disorder."
C0332173,/day (Daily) [Temporal Concept],Temporal Concept,C0030508,Parasomnia,Disease or Syndrome,"Parasomnia - acting in unusual ways while falling asleep, sleeping, or waking from sleep, such as walking, talking, or eating  Some people who feel tired during the day have a true sleep disorder."
C0332173,/day (Daily) [Temporal Concept],Temporal Concept,C0439505,/day (per day) [Temporal Concept],Temporal Concept,"Parasomnia - acting in unusual ways while falling asleep, sleeping, or waking from sleep, such as walking, talking, or eating  Some people who feel tired during the day have a true sleep disorder."
C0332173,/day (Daily) [Temporal Concept],Temporal Concept,C0439228,Day (day) [Temporal Concept],Temporal Concept,"Parasomnia - acting in unusual ways while falling asleep, sleeping, or waking from sleep, such as walking, talking, or eating  Some people who feel tired during the day have a true sleep disorder."
C0015672,Tired (Fatigue),Sign or Symptom,C0030508,Parasomnia,Disease or Syndrome,"Parasomnia - acting in unusual ways while falling asleep, sleeping, or waking from sleep, such as walking, talking, or eating  Some people who feel tired during the day have a true sleep disorder."
C0015672,Tired (Fatigue),Sign or Symptom,C0439505,/day (per day) [Temporal Concept],Temporal Concept,"Parasomnia - acting in unusual ways while falling asleep, sleeping, or waking from sleep, such as walking, talking, or eating  Some people who feel tired during the day have a true sleep disorder."
C0015672,Tired (Fatigue),Sign or Symptom,C0439228,Day (day) [Temporal Concept],Temporal Concept,"Parasomnia - acting in unusual ways while falling asleep, sleeping, or waking from sleep, such as walking, talking, or eating  Some people who feel tired during the day have a true sleep disorder."
C0030508,Parasomnia,Disease or Syndrome,C0439505,/day (per day) [Temporal Concept],Temporal Concept,"Parasomnia - acting in unusual ways while falling asleep, sleeping, or waking from sleep, such as walking, talking, or eating  Some people who feel tired during the day have a true sleep disorder."
C0030508,Parasomnia,Disease or Syndrome,C0439228,Day (day) [Temporal Concept],Temporal Concept,"Parasomnia - acting in unusual ways while falling asleep, sleeping, or waking from sleep, such as walking, talking, or eating  Some people who feel tired during the day have a true sleep disorder."
C0439505,/day (per day) [Temporal Concept],Temporal Concept,C0439228,Day (day) [Temporal Concept],Temporal Concept,"Parasomnia - acting in unusual ways while falling asleep, sleeping, or waking from sleep, such as walking, talking, or eating  Some people who feel tired during the day have a true sleep disorder."
C0040223,TIME (Time) [Temporal Concept],Temporal Concept,C3541383,Time (Time (foundation metadata concept)) [Temporal Concept],Temporal Concept,"But for others, the real problem is not allowing enough time for sleep."
C1292429,8 Hours [Temporal Concept],Temporal Concept,C0240526,Night (Night time) [Temporal Concept],Temporal Concept,Most adults need about 7-8 hours each night.
C0004936,Mental Illness (Mental disorders),Mental or Behavioral Dysfunction,C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0004936,Mental Illness (Mental disorders),Mental or Behavioral Dysfunction,C0851578,SLEEP DISORDERS (Sleep Disorders),Mental or Behavioral Dysfunction,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0004936,Mental Illness (Mental disorders),Mental or Behavioral Dysfunction,C0030193,PAIN (Pain),Sign or Symptom,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0004936,Mental Illness (Mental disorders),Mental or Behavioral Dysfunction,C0003469,Anxiety (Anxiety Disorders),Mental or Behavioral Dysfunction,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0004936,Mental Illness (Mental disorders),Mental or Behavioral Dysfunction,C0012634,condition (Disease),Disease or Syndrome,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0004936,Mental Illness (Mental disorders),Mental or Behavioral Dysfunction,C0003467,ANXIETY (Anxiety),Mental or Behavioral Dysfunction,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0004936,Mental Illness (Mental disorders),Mental or Behavioral Dysfunction,C0344315,depression (Depressed mood),Mental or Behavioral Dysfunction,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0004936,Mental Illness (Mental disorders),Mental or Behavioral Dysfunction,C0027765,Nerve Disorder (nervous system disorder),Disease or Syndrome,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0004936,Mental Illness (Mental disorders),Mental or Behavioral Dysfunction,C0018799,"HEART DISEASE, NOS (Heart Diseases)",Disease or Syndrome,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0004936,Mental Illness (Mental disorders),Mental or Behavioral Dysfunction,C0024115,"Disease, Lung (Lung diseases)",Disease or Syndrome,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0004936,Mental Illness (Mental disorders),Mental or Behavioral Dysfunction,C1998882,Sometimes [Temporal Concept],Temporal Concept,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0004936,Mental Illness (Mental disorders),Mental or Behavioral Dysfunction,C0746845,nerve Disorder (nerve condition),Mental or Behavioral Dysfunction,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0004936,Mental Illness (Mental disorders),Mental or Behavioral Dysfunction,C0011570,DEPRESSION (Mental Depression),Mental or Behavioral Dysfunction,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,C0851578,SLEEP DISORDERS (Sleep Disorders),Mental or Behavioral Dysfunction,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,C0030193,PAIN (Pain),Sign or Symptom,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,C0003469,Anxiety (Anxiety Disorders),Mental or Behavioral Dysfunction,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,C0012634,condition (Disease),Disease or Syndrome,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,C0003467,ANXIETY (Anxiety),Mental or Behavioral Dysfunction,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,C0344315,depression (Depressed mood),Mental or Behavioral Dysfunction,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,C0027765,Nerve Disorder (nervous system disorder),Disease or Syndrome,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,C0018799,"HEART DISEASE, NOS (Heart Diseases)",Disease or Syndrome,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,C0024115,"Disease, Lung (Lung diseases)",Disease or Syndrome,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,C1998882,Sometimes [Temporal Concept],Temporal Concept,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,C0746845,nerve Disorder (nerve condition),Mental or Behavioral Dysfunction,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,C0011570,DEPRESSION (Mental Depression),Mental or Behavioral Dysfunction,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0851578,SLEEP DISORDERS (Sleep Disorders),Mental or Behavioral Dysfunction,C0030193,PAIN (Pain),Sign or Symptom,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0851578,SLEEP DISORDERS (Sleep Disorders),Mental or Behavioral Dysfunction,C0003469,Anxiety (Anxiety Disorders),Mental or Behavioral Dysfunction,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0851578,SLEEP DISORDERS (Sleep Disorders),Mental or Behavioral Dysfunction,C0012634,condition (Disease),Disease or Syndrome,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0851578,SLEEP DISORDERS (Sleep Disorders),Mental or Behavioral Dysfunction,C0003467,ANXIETY (Anxiety),Mental or Behavioral Dysfunction,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0851578,SLEEP DISORDERS (Sleep Disorders),Mental or Behavioral Dysfunction,C0344315,depression (Depressed mood),Mental or Behavioral Dysfunction,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0851578,SLEEP DISORDERS (Sleep Disorders),Mental or Behavioral Dysfunction,C0027765,Nerve Disorder (nervous system disorder),Disease or Syndrome,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0851578,SLEEP DISORDERS (Sleep Disorders),Mental or Behavioral Dysfunction,C0018799,"HEART DISEASE, NOS (Heart Diseases)",Disease or Syndrome,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0851578,SLEEP DISORDERS (Sleep Disorders),Mental or Behavioral Dysfunction,C0024115,"Disease, Lung (Lung diseases)",Disease or Syndrome,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0851578,SLEEP DISORDERS (Sleep Disorders),Mental or Behavioral Dysfunction,C1998882,Sometimes [Temporal Concept],Temporal Concept,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0851578,SLEEP DISORDERS (Sleep Disorders),Mental or Behavioral Dysfunction,C0746845,nerve Disorder (nerve condition),Mental or Behavioral Dysfunction,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0851578,SLEEP DISORDERS (Sleep Disorders),Mental or Behavioral Dysfunction,C0011570,DEPRESSION (Mental Depression),Mental or Behavioral Dysfunction,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0030193,PAIN (Pain),Sign or Symptom,C0003469,Anxiety (Anxiety Disorders),Mental or Behavioral Dysfunction,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0030193,PAIN (Pain),Sign or Symptom,C0012634,condition (Disease),Disease or Syndrome,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0030193,PAIN (Pain),Sign or Symptom,C0003467,ANXIETY (Anxiety),Mental or Behavioral Dysfunction,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0030193,PAIN (Pain),Sign or Symptom,C0344315,depression (Depressed mood),Mental or Behavioral Dysfunction,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0030193,PAIN (Pain),Sign or Symptom,C0027765,Nerve Disorder (nervous system disorder),Disease or Syndrome,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0030193,PAIN (Pain),Sign or Symptom,C0018799,"HEART DISEASE, NOS (Heart Diseases)",Disease or Syndrome,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0030193,PAIN (Pain),Sign or Symptom,C0024115,"Disease, Lung (Lung diseases)",Disease or Syndrome,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0030193,PAIN (Pain),Sign or Symptom,C1998882,Sometimes [Temporal Concept],Temporal Concept,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0030193,PAIN (Pain),Sign or Symptom,C0746845,nerve Disorder (nerve condition),Mental or Behavioral Dysfunction,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0030193,PAIN (Pain),Sign or Symptom,C0011570,DEPRESSION (Mental Depression),Mental or Behavioral Dysfunction,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0003469,Anxiety (Anxiety Disorders),Mental or Behavioral Dysfunction,C0012634,condition (Disease),Disease or Syndrome,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0003469,Anxiety (Anxiety Disorders),Mental or Behavioral Dysfunction,C0003467,ANXIETY (Anxiety),Mental or Behavioral Dysfunction,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0003469,Anxiety (Anxiety Disorders),Mental or Behavioral Dysfunction,C0344315,depression (Depressed mood),Mental or Behavioral Dysfunction,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0003469,Anxiety (Anxiety Disorders),Mental or Behavioral Dysfunction,C0027765,Nerve Disorder (nervous system disorder),Disease or Syndrome,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0003469,Anxiety (Anxiety Disorders),Mental or Behavioral Dysfunction,C0018799,"HEART DISEASE, NOS (Heart Diseases)",Disease or Syndrome,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0003469,Anxiety (Anxiety Disorders),Mental or Behavioral Dysfunction,C0024115,"Disease, Lung (Lung diseases)",Disease or Syndrome,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0003469,Anxiety (Anxiety Disorders),Mental or Behavioral Dysfunction,C1998882,Sometimes [Temporal Concept],Temporal Concept,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0003469,Anxiety (Anxiety Disorders),Mental or Behavioral Dysfunction,C0746845,nerve Disorder (nerve condition),Mental or Behavioral Dysfunction,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0003469,Anxiety (Anxiety Disorders),Mental or Behavioral Dysfunction,C0011570,DEPRESSION (Mental Depression),Mental or Behavioral Dysfunction,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0012634,condition (Disease),Disease or Syndrome,C0003467,ANXIETY (Anxiety),Mental or Behavioral Dysfunction,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0012634,condition (Disease),Disease or Syndrome,C0344315,depression (Depressed mood),Mental or Behavioral Dysfunction,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0012634,condition (Disease),Disease or Syndrome,C0027765,Nerve Disorder (nervous system disorder),Disease or Syndrome,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0012634,condition (Disease),Disease or Syndrome,C0018799,"HEART DISEASE, NOS (Heart Diseases)",Disease or Syndrome,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0012634,condition (Disease),Disease or Syndrome,C0024115,"Disease, Lung (Lung diseases)",Disease or Syndrome,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0012634,condition (Disease),Disease or Syndrome,C1998882,Sometimes [Temporal Concept],Temporal Concept,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0012634,condition (Disease),Disease or Syndrome,C0746845,nerve Disorder (nerve condition),Mental or Behavioral Dysfunction,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0012634,condition (Disease),Disease or Syndrome,C0011570,DEPRESSION (Mental Depression),Mental or Behavioral Dysfunction,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0003467,ANXIETY (Anxiety),Mental or Behavioral Dysfunction,C0344315,depression (Depressed mood),Mental or Behavioral Dysfunction,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0003467,ANXIETY (Anxiety),Mental or Behavioral Dysfunction,C0027765,Nerve Disorder (nervous system disorder),Disease or Syndrome,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0003467,ANXIETY (Anxiety),Mental or Behavioral Dysfunction,C0018799,"HEART DISEASE, NOS (Heart Diseases)",Disease or Syndrome,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0003467,ANXIETY (Anxiety),Mental or Behavioral Dysfunction,C0024115,"Disease, Lung (Lung diseases)",Disease or Syndrome,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0003467,ANXIETY (Anxiety),Mental or Behavioral Dysfunction,C1998882,Sometimes [Temporal Concept],Temporal Concept,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0003467,ANXIETY (Anxiety),Mental or Behavioral Dysfunction,C0746845,nerve Disorder (nerve condition),Mental or Behavioral Dysfunction,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0003467,ANXIETY (Anxiety),Mental or Behavioral Dysfunction,C0011570,DEPRESSION (Mental Depression),Mental or Behavioral Dysfunction,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0344315,depression (Depressed mood),Mental or Behavioral Dysfunction,C0027765,Nerve Disorder (nervous system disorder),Disease or Syndrome,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0344315,depression (Depressed mood),Mental or Behavioral Dysfunction,C0018799,"HEART DISEASE, NOS (Heart Diseases)",Disease or Syndrome,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0344315,depression (Depressed mood),Mental or Behavioral Dysfunction,C0024115,"Disease, Lung (Lung diseases)",Disease or Syndrome,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0344315,depression (Depressed mood),Mental or Behavioral Dysfunction,C1998882,Sometimes [Temporal Concept],Temporal Concept,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0344315,depression (Depressed mood),Mental or Behavioral Dysfunction,C0746845,nerve Disorder (nerve condition),Mental or Behavioral Dysfunction,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0344315,depression (Depressed mood),Mental or Behavioral Dysfunction,C0011570,DEPRESSION (Mental Depression),Mental or Behavioral Dysfunction,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
C0027765,Nerve Disorder (nervous system disorder),Disease or Syndrome,C0018799,"HEART DISEASE, NOS (Heart Diseases)",Disease or Syndrome,"There are different causes for different sleep disorders, including  Other conditions, such as heart disease, lung disease, nerve disorders, and pain Mental illnesses, including depression and anxiety Medicines Genetics  Sometimes the cause is not known."
