C0011570,DEPRESSION (Mental Depression),Mental or Behavioral Dysfunction,C1458156,Recurrence (Recurrent Malignant Neoplasm),Neoplastic Process,Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.An affective disorder manifested by either a dysphoric mood or loss of interest or pleasure in usual activities.
C0011570,DEPRESSION (Mental Depression),Mental or Behavioral Dysfunction,C1948053,Period (Period (temporal qualifier)) [Temporal Concept],Temporal Concept,Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.An affective disorder manifested by either a dysphoric mood or loss of interest or pleasure in usual activities.
C0011570,DEPRESSION (Mental Depression),Mental or Behavioral Dysfunction,C0525045,AFFECTIVE DISORDER (Mood Disorders),Mental or Behavioral Dysfunction,Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.An affective disorder manifested by either a dysphoric mood or loss of interest or pleasure in usual activities.
C0439531,/period (per period (qualifier value)) [Temporal Concept],Temporal Concept,C0085633,MOOD SWINGS (Mood swings),Mental or Behavioral Dysfunction,Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.An affective disorder manifested by either a dysphoric mood or loss of interest or pleasure in usual activities.
C0439531,/period (per period (qualifier value)) [Temporal Concept],Temporal Concept,C1458156,Recurrence (Recurrent Malignant Neoplasm),Neoplastic Process,Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.An affective disorder manifested by either a dysphoric mood or loss of interest or pleasure in usual activities.
C0439531,/period (per period (qualifier value)) [Temporal Concept],Temporal Concept,C1948053,Period (Period (temporal qualifier)) [Temporal Concept],Temporal Concept,Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.An affective disorder manifested by either a dysphoric mood or loss of interest or pleasure in usual activities.
C0439531,/period (per period (qualifier value)) [Temporal Concept],Temporal Concept,C0525045,AFFECTIVE DISORDER (Mood Disorders),Mental or Behavioral Dysfunction,Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.An affective disorder manifested by either a dysphoric mood or loss of interest or pleasure in usual activities.
C0085633,MOOD SWINGS (Mood swings),Mental or Behavioral Dysfunction,C1458156,Recurrence (Recurrent Malignant Neoplasm),Neoplastic Process,Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.An affective disorder manifested by either a dysphoric mood or loss of interest or pleasure in usual activities.
C0085633,MOOD SWINGS (Mood swings),Mental or Behavioral Dysfunction,C1948053,Period (Period (temporal qualifier)) [Temporal Concept],Temporal Concept,Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.An affective disorder manifested by either a dysphoric mood or loss of interest or pleasure in usual activities.
C0085633,MOOD SWINGS (Mood swings),Mental or Behavioral Dysfunction,C0525045,AFFECTIVE DISORDER (Mood Disorders),Mental or Behavioral Dysfunction,Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.An affective disorder manifested by either a dysphoric mood or loss of interest or pleasure in usual activities.
C1458156,Recurrence (Recurrent Malignant Neoplasm),Neoplastic Process,C1948053,Period (Period (temporal qualifier)) [Temporal Concept],Temporal Concept,Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.An affective disorder manifested by either a dysphoric mood or loss of interest or pleasure in usual activities.
C1458156,Recurrence (Recurrent Malignant Neoplasm),Neoplastic Process,C0525045,AFFECTIVE DISORDER (Mood Disorders),Mental or Behavioral Dysfunction,Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.An affective disorder manifested by either a dysphoric mood or loss of interest or pleasure in usual activities.
C1948053,Period (Period (temporal qualifier)) [Temporal Concept],Temporal Concept,C0525045,AFFECTIVE DISORDER (Mood Disorders),Mental or Behavioral Dysfunction,Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.An affective disorder manifested by either a dysphoric mood or loss of interest or pleasure in usual activities.
C2939186,mood disturbance (Disturbance in mood),Mental or Behavioral Dysfunction,C0205322,Persistent [Temporal Concept],Temporal Concept,"The mood disturbance is prominent and relatively persistent.Any deviation from or interruption of the normal structure or function of a part, organ, or system of the body as manifested by characteristic symptoms and signs."
C2939186,mood disturbance (Disturbance in mood),Mental or Behavioral Dysfunction,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"The mood disturbance is prominent and relatively persistent.Any deviation from or interruption of the normal structure or function of a part, organ, or system of the body as manifested by characteristic symptoms and signs."
C2939186,mood disturbance (Disturbance in mood),Mental or Behavioral Dysfunction,C1512900,Interruption [Temporal Concept],Temporal Concept,"The mood disturbance is prominent and relatively persistent.Any deviation from or interruption of the normal structure or function of a part, organ, or system of the body as manifested by characteristic symptoms and signs."
C0205322,Persistent [Temporal Concept],Temporal Concept,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"The mood disturbance is prominent and relatively persistent.Any deviation from or interruption of the normal structure or function of a part, organ, or system of the body as manifested by characteristic symptoms and signs."
C0205322,Persistent [Temporal Concept],Temporal Concept,C1512900,Interruption [Temporal Concept],Temporal Concept,"The mood disturbance is prominent and relatively persistent.Any deviation from or interruption of the normal structure or function of a part, organ, or system of the body as manifested by characteristic symptoms and signs."
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C1512900,Interruption [Temporal Concept],Temporal Concept,"The mood disturbance is prominent and relatively persistent.Any deviation from or interruption of the normal structure or function of a part, organ, or system of the body as manifested by characteristic symptoms and signs."
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C2364135,DISCOMFORT (Discomfort),Sign or Symptom,"[Dorland's Medical Dictionary]In medicine, a health problem with certain characteristics or symptoms.Any abnormal condition of the body or mind that causes discomfort, dysfunction, or distress to the person affected or those in contact with the person."
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C3887505,DYSFUNCTION (DYSFUNCTION - SKIN DISORDERS),Disease or Syndrome,"[Dorland's Medical Dictionary]In medicine, a health problem with certain characteristics or symptoms.Any abnormal condition of the body or mind that causes discomfort, dysfunction, or distress to the person affected or those in contact with the person."
C2364135,DISCOMFORT (Discomfort),Sign or Symptom,C3887505,DYSFUNCTION (DYSFUNCTION - SKIN DISORDERS),Disease or Syndrome,"[Dorland's Medical Dictionary]In medicine, a health problem with certain characteristics or symptoms.Any abnormal condition of the body or mind that causes discomfort, dysfunction, or distress to the person affected or those in contact with the person."
C0039082,Syndromes (Syndrome),Disease or Syndrome,C1515273,Term (Term (temporal)) [Temporal Concept],Temporal Concept,"The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.A definite pathologic process with a characteristic set of signs and symptoms."
C0039082,Syndromes (Syndrome),Disease or Syndrome,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.A definite pathologic process with a characteristic set of signs and symptoms."
C0039082,Syndromes (Syndrome),Disease or Syndrome,C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,"The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.A definite pathologic process with a characteristic set of signs and symptoms."
C1515273,Term (Term (temporal)) [Temporal Concept],Temporal Concept,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.A definite pathologic process with a characteristic set of signs and symptoms."
C1515273,Term (Term (temporal)) [Temporal Concept],Temporal Concept,C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,"The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.A definite pathologic process with a characteristic set of signs and symptoms."
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,"The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.A definite pathologic process with a characteristic set of signs and symptoms."
C0344315,depression (Depressed mood),Mental or Behavioral Dysfunction,C0221423,Illness (Illness (finding)),Sign or Symptom,"It may affect the whole body or any of its parts, and its etiology, pathology, and prognosis may be known or unknown.Depression is a serious medical illness."
C0344315,depression (Depressed mood),Mental or Behavioral Dysfunction,C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,"It may affect the whole body or any of its parts, and its etiology, pathology, and prognosis may be known or unknown.Depression is a serious medical illness."
C0344315,depression (Depressed mood),Mental or Behavioral Dysfunction,C0011570,DEPRESSION (Mental Depression),Mental or Behavioral Dysfunction,"It may affect the whole body or any of its parts, and its etiology, pathology, and prognosis may be known or unknown.Depression is a serious medical illness."
C0221423,Illness (Illness (finding)),Sign or Symptom,C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,"It may affect the whole body or any of its parts, and its etiology, pathology, and prognosis may be known or unknown.Depression is a serious medical illness."
C0221423,Illness (Illness (finding)),Sign or Symptom,C0011570,DEPRESSION (Mental Depression),Mental or Behavioral Dysfunction,"It may affect the whole body or any of its parts, and its etiology, pathology, and prognosis may be known or unknown.Depression is a serious medical illness."
C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,C0011570,DEPRESSION (Mental Depression),Mental or Behavioral Dysfunction,"It may affect the whole body or any of its parts, and its etiology, pathology, and prognosis may be known or unknown.Depression is a serious medical illness."
C0344315,depression (Depressed mood),Mental or Behavioral Dysfunction,C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,"If you are one of the more than 19 million teens and adults in the United States who have depression, the feelings do not go away."
C0344315,depression (Depressed mood),Mental or Behavioral Dysfunction,C0011570,DEPRESSION (Mental Depression),Mental or Behavioral Dysfunction,"If you are one of the more than 19 million teens and adults in the United States who have depression, the feelings do not go away."
C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,C0011570,DEPRESSION (Mental Depression),Mental or Behavioral Dysfunction,"If you are one of the more than 19 million teens and adults in the United States who have depression, the feelings do not go away."
C0030193,pains (Pain),Sign or Symptom,C0026821,Cramps (Muscle Cramp),Sign or Symptom,"Symptoms can include  Feeling sad or ""empty"" Loss of interest in favorite activities Overeating, or not wanting to eat at all Not being able to sleep, or sleeping too much Feeling very tired Feeling hopeless, irritable, anxious, or guilty Aches or pains, headaches, cramps, or digestive problems Thoughts of death or suicide  Depression is a disorder of the brain."
C0030193,pains (Pain),Sign or Symptom,C0003467,Anxious (Anxiety),Mental or Behavioral Dysfunction,"Symptoms can include  Feeling sad or ""empty"" Loss of interest in favorite activities Overeating, or not wanting to eat at all Not being able to sleep, or sleeping too much Feeling very tired Feeling hopeless, irritable, anxious, or guilty Aches or pains, headaches, cramps, or digestive problems Thoughts of death or suicide  Depression is a disorder of the brain."
C0030193,pains (Pain),Sign or Symptom,C0015672,Tired (Fatigue),Sign or Symptom,"Symptoms can include  Feeling sad or ""empty"" Loss of interest in favorite activities Overeating, or not wanting to eat at all Not being able to sleep, or sleeping too much Feeling very tired Feeling hopeless, irritable, anxious, or guilty Aches or pains, headaches, cramps, or digestive problems Thoughts of death or suicide  Depression is a disorder of the brain."
C0030193,pains (Pain),Sign or Symptom,C0006111,Disorder of brain (Brain Diseases),Disease or Syndrome,"Symptoms can include  Feeling sad or ""empty"" Loss of interest in favorite activities Overeating, or not wanting to eat at all Not being able to sleep, or sleeping too much Feeling very tired Feeling hopeless, irritable, anxious, or guilty Aches or pains, headaches, cramps, or digestive problems Thoughts of death or suicide  Depression is a disorder of the brain."
C0030193,pains (Pain),Sign or Symptom,C0018681,Headaches (Headache),Sign or Symptom,"Symptoms can include  Feeling sad or ""empty"" Loss of interest in favorite activities Overeating, or not wanting to eat at all Not being able to sleep, or sleeping too much Feeling very tired Feeling hopeless, irritable, anxious, or guilty Aches or pains, headaches, cramps, or digestive problems Thoughts of death or suicide  Depression is a disorder of the brain."
C0030193,pains (Pain),Sign or Symptom,C0234238,Aches (Ache),Sign or Symptom,"Symptoms can include  Feeling sad or ""empty"" Loss of interest in favorite activities Overeating, or not wanting to eat at all Not being able to sleep, or sleeping too much Feeling very tired Feeling hopeless, irritable, anxious, or guilty Aches or pains, headaches, cramps, or digestive problems Thoughts of death or suicide  Depression is a disorder of the brain."
C0030193,pains (Pain),Sign or Symptom,C0221745,SUICIDAL DEPRESSION (DEPRESSION SUICIDAL),Mental or Behavioral Dysfunction,"Symptoms can include  Feeling sad or ""empty"" Loss of interest in favorite activities Overeating, or not wanting to eat at all Not being able to sleep, or sleeping too much Feeling very tired Feeling hopeless, irritable, anxious, or guilty Aches or pains, headaches, cramps, or digestive problems Thoughts of death or suicide  Depression is a disorder of the brain."
C0030193,pains (Pain),Sign or Symptom,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"Symptoms can include  Feeling sad or ""empty"" Loss of interest in favorite activities Overeating, or not wanting to eat at all Not being able to sleep, or sleeping too much Feeling very tired Feeling hopeless, irritable, anxious, or guilty Aches or pains, headaches, cramps, or digestive problems Thoughts of death or suicide  Depression is a disorder of the brain."
C0030193,pains (Pain),Sign or Symptom,C0851121,digestive problems (digestive problem),Sign or Symptom,"Symptoms can include  Feeling sad or ""empty"" Loss of interest in favorite activities Overeating, or not wanting to eat at all Not being able to sleep, or sleeping too much Feeling very tired Feeling hopeless, irritable, anxious, or guilty Aches or pains, headaches, cramps, or digestive problems Thoughts of death or suicide  Depression is a disorder of the brain."
C0026821,Cramps (Muscle Cramp),Sign or Symptom,C0003467,Anxious (Anxiety),Mental or Behavioral Dysfunction,"Symptoms can include  Feeling sad or ""empty"" Loss of interest in favorite activities Overeating, or not wanting to eat at all Not being able to sleep, or sleeping too much Feeling very tired Feeling hopeless, irritable, anxious, or guilty Aches or pains, headaches, cramps, or digestive problems Thoughts of death or suicide  Depression is a disorder of the brain."
C0026821,Cramps (Muscle Cramp),Sign or Symptom,C0015672,Tired (Fatigue),Sign or Symptom,"Symptoms can include  Feeling sad or ""empty"" Loss of interest in favorite activities Overeating, or not wanting to eat at all Not being able to sleep, or sleeping too much Feeling very tired Feeling hopeless, irritable, anxious, or guilty Aches or pains, headaches, cramps, or digestive problems Thoughts of death or suicide  Depression is a disorder of the brain."
C0026821,Cramps (Muscle Cramp),Sign or Symptom,C0006111,Disorder of brain (Brain Diseases),Disease or Syndrome,"Symptoms can include  Feeling sad or ""empty"" Loss of interest in favorite activities Overeating, or not wanting to eat at all Not being able to sleep, or sleeping too much Feeling very tired Feeling hopeless, irritable, anxious, or guilty Aches or pains, headaches, cramps, or digestive problems Thoughts of death or suicide  Depression is a disorder of the brain."
C0026821,Cramps (Muscle Cramp),Sign or Symptom,C0018681,Headaches (Headache),Sign or Symptom,"Symptoms can include  Feeling sad or ""empty"" Loss of interest in favorite activities Overeating, or not wanting to eat at all Not being able to sleep, or sleeping too much Feeling very tired Feeling hopeless, irritable, anxious, or guilty Aches or pains, headaches, cramps, or digestive problems Thoughts of death or suicide  Depression is a disorder of the brain."
C0026821,Cramps (Muscle Cramp),Sign or Symptom,C0234238,Aches (Ache),Sign or Symptom,"Symptoms can include  Feeling sad or ""empty"" Loss of interest in favorite activities Overeating, or not wanting to eat at all Not being able to sleep, or sleeping too much Feeling very tired Feeling hopeless, irritable, anxious, or guilty Aches or pains, headaches, cramps, or digestive problems Thoughts of death or suicide  Depression is a disorder of the brain."
C0026821,Cramps (Muscle Cramp),Sign or Symptom,C0221745,SUICIDAL DEPRESSION (DEPRESSION SUICIDAL),Mental or Behavioral Dysfunction,"Symptoms can include  Feeling sad or ""empty"" Loss of interest in favorite activities Overeating, or not wanting to eat at all Not being able to sleep, or sleeping too much Feeling very tired Feeling hopeless, irritable, anxious, or guilty Aches or pains, headaches, cramps, or digestive problems Thoughts of death or suicide  Depression is a disorder of the brain."
C0026821,Cramps (Muscle Cramp),Sign or Symptom,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"Symptoms can include  Feeling sad or ""empty"" Loss of interest in favorite activities Overeating, or not wanting to eat at all Not being able to sleep, or sleeping too much Feeling very tired Feeling hopeless, irritable, anxious, or guilty Aches or pains, headaches, cramps, or digestive problems Thoughts of death or suicide  Depression is a disorder of the brain."
C0026821,Cramps (Muscle Cramp),Sign or Symptom,C0851121,digestive problems (digestive problem),Sign or Symptom,"Symptoms can include  Feeling sad or ""empty"" Loss of interest in favorite activities Overeating, or not wanting to eat at all Not being able to sleep, or sleeping too much Feeling very tired Feeling hopeless, irritable, anxious, or guilty Aches or pains, headaches, cramps, or digestive problems Thoughts of death or suicide  Depression is a disorder of the brain."
C0003467,Anxious (Anxiety),Mental or Behavioral Dysfunction,C0015672,Tired (Fatigue),Sign or Symptom,"Symptoms can include  Feeling sad or ""empty"" Loss of interest in favorite activities Overeating, or not wanting to eat at all Not being able to sleep, or sleeping too much Feeling very tired Feeling hopeless, irritable, anxious, or guilty Aches or pains, headaches, cramps, or digestive problems Thoughts of death or suicide  Depression is a disorder of the brain."
C0003467,Anxious (Anxiety),Mental or Behavioral Dysfunction,C0006111,Disorder of brain (Brain Diseases),Disease or Syndrome,"Symptoms can include  Feeling sad or ""empty"" Loss of interest in favorite activities Overeating, or not wanting to eat at all Not being able to sleep, or sleeping too much Feeling very tired Feeling hopeless, irritable, anxious, or guilty Aches or pains, headaches, cramps, or digestive problems Thoughts of death or suicide  Depression is a disorder of the brain."
C0003467,Anxious (Anxiety),Mental or Behavioral Dysfunction,C0018681,Headaches (Headache),Sign or Symptom,"Symptoms can include  Feeling sad or ""empty"" Loss of interest in favorite activities Overeating, or not wanting to eat at all Not being able to sleep, or sleeping too much Feeling very tired Feeling hopeless, irritable, anxious, or guilty Aches or pains, headaches, cramps, or digestive problems Thoughts of death or suicide  Depression is a disorder of the brain."
C0003467,Anxious (Anxiety),Mental or Behavioral Dysfunction,C0234238,Aches (Ache),Sign or Symptom,"Symptoms can include  Feeling sad or ""empty"" Loss of interest in favorite activities Overeating, or not wanting to eat at all Not being able to sleep, or sleeping too much Feeling very tired Feeling hopeless, irritable, anxious, or guilty Aches or pains, headaches, cramps, or digestive problems Thoughts of death or suicide  Depression is a disorder of the brain."
C0003467,Anxious (Anxiety),Mental or Behavioral Dysfunction,C0221745,SUICIDAL DEPRESSION (DEPRESSION SUICIDAL),Mental or Behavioral Dysfunction,"Symptoms can include  Feeling sad or ""empty"" Loss of interest in favorite activities Overeating, or not wanting to eat at all Not being able to sleep, or sleeping too much Feeling very tired Feeling hopeless, irritable, anxious, or guilty Aches or pains, headaches, cramps, or digestive problems Thoughts of death or suicide  Depression is a disorder of the brain."
C0003467,Anxious (Anxiety),Mental or Behavioral Dysfunction,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"Symptoms can include  Feeling sad or ""empty"" Loss of interest in favorite activities Overeating, or not wanting to eat at all Not being able to sleep, or sleeping too much Feeling very tired Feeling hopeless, irritable, anxious, or guilty Aches or pains, headaches, cramps, or digestive problems Thoughts of death or suicide  Depression is a disorder of the brain."
C0003467,Anxious (Anxiety),Mental or Behavioral Dysfunction,C0851121,digestive problems (digestive problem),Sign or Symptom,"Symptoms can include  Feeling sad or ""empty"" Loss of interest in favorite activities Overeating, or not wanting to eat at all Not being able to sleep, or sleeping too much Feeling very tired Feeling hopeless, irritable, anxious, or guilty Aches or pains, headaches, cramps, or digestive problems Thoughts of death or suicide  Depression is a disorder of the brain."
C0015672,Tired (Fatigue),Sign or Symptom,C0006111,Disorder of brain (Brain Diseases),Disease or Syndrome,"Symptoms can include  Feeling sad or ""empty"" Loss of interest in favorite activities Overeating, or not wanting to eat at all Not being able to sleep, or sleeping too much Feeling very tired Feeling hopeless, irritable, anxious, or guilty Aches or pains, headaches, cramps, or digestive problems Thoughts of death or suicide  Depression is a disorder of the brain."
C0015672,Tired (Fatigue),Sign or Symptom,C0018681,Headaches (Headache),Sign or Symptom,"Symptoms can include  Feeling sad or ""empty"" Loss of interest in favorite activities Overeating, or not wanting to eat at all Not being able to sleep, or sleeping too much Feeling very tired Feeling hopeless, irritable, anxious, or guilty Aches or pains, headaches, cramps, or digestive problems Thoughts of death or suicide  Depression is a disorder of the brain."
C0015672,Tired (Fatigue),Sign or Symptom,C0234238,Aches (Ache),Sign or Symptom,"Symptoms can include  Feeling sad or ""empty"" Loss of interest in favorite activities Overeating, or not wanting to eat at all Not being able to sleep, or sleeping too much Feeling very tired Feeling hopeless, irritable, anxious, or guilty Aches or pains, headaches, cramps, or digestive problems Thoughts of death or suicide  Depression is a disorder of the brain."
C0015672,Tired (Fatigue),Sign or Symptom,C0221745,SUICIDAL DEPRESSION (DEPRESSION SUICIDAL),Mental or Behavioral Dysfunction,"Symptoms can include  Feeling sad or ""empty"" Loss of interest in favorite activities Overeating, or not wanting to eat at all Not being able to sleep, or sleeping too much Feeling very tired Feeling hopeless, irritable, anxious, or guilty Aches or pains, headaches, cramps, or digestive problems Thoughts of death or suicide  Depression is a disorder of the brain."
C0015672,Tired (Fatigue),Sign or Symptom,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"Symptoms can include  Feeling sad or ""empty"" Loss of interest in favorite activities Overeating, or not wanting to eat at all Not being able to sleep, or sleeping too much Feeling very tired Feeling hopeless, irritable, anxious, or guilty Aches or pains, headaches, cramps, or digestive problems Thoughts of death or suicide  Depression is a disorder of the brain."
C0015672,Tired (Fatigue),Sign or Symptom,C0851121,digestive problems (digestive problem),Sign or Symptom,"Symptoms can include  Feeling sad or ""empty"" Loss of interest in favorite activities Overeating, or not wanting to eat at all Not being able to sleep, or sleeping too much Feeling very tired Feeling hopeless, irritable, anxious, or guilty Aches or pains, headaches, cramps, or digestive problems Thoughts of death or suicide  Depression is a disorder of the brain."
C0006111,Disorder of brain (Brain Diseases),Disease or Syndrome,C0018681,Headaches (Headache),Sign or Symptom,"Symptoms can include  Feeling sad or ""empty"" Loss of interest in favorite activities Overeating, or not wanting to eat at all Not being able to sleep, or sleeping too much Feeling very tired Feeling hopeless, irritable, anxious, or guilty Aches or pains, headaches, cramps, or digestive problems Thoughts of death or suicide  Depression is a disorder of the brain."
C0006111,Disorder of brain (Brain Diseases),Disease or Syndrome,C0234238,Aches (Ache),Sign or Symptom,"Symptoms can include  Feeling sad or ""empty"" Loss of interest in favorite activities Overeating, or not wanting to eat at all Not being able to sleep, or sleeping too much Feeling very tired Feeling hopeless, irritable, anxious, or guilty Aches or pains, headaches, cramps, or digestive problems Thoughts of death or suicide  Depression is a disorder of the brain."
C0006111,Disorder of brain (Brain Diseases),Disease or Syndrome,C0221745,SUICIDAL DEPRESSION (DEPRESSION SUICIDAL),Mental or Behavioral Dysfunction,"Symptoms can include  Feeling sad or ""empty"" Loss of interest in favorite activities Overeating, or not wanting to eat at all Not being able to sleep, or sleeping too much Feeling very tired Feeling hopeless, irritable, anxious, or guilty Aches or pains, headaches, cramps, or digestive problems Thoughts of death or suicide  Depression is a disorder of the brain."
C0006111,Disorder of brain (Brain Diseases),Disease or Syndrome,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"Symptoms can include  Feeling sad or ""empty"" Loss of interest in favorite activities Overeating, or not wanting to eat at all Not being able to sleep, or sleeping too much Feeling very tired Feeling hopeless, irritable, anxious, or guilty Aches or pains, headaches, cramps, or digestive problems Thoughts of death or suicide  Depression is a disorder of the brain."
C0006111,Disorder of brain (Brain Diseases),Disease or Syndrome,C0851121,digestive problems (digestive problem),Sign or Symptom,"Symptoms can include  Feeling sad or ""empty"" Loss of interest in favorite activities Overeating, or not wanting to eat at all Not being able to sleep, or sleeping too much Feeling very tired Feeling hopeless, irritable, anxious, or guilty Aches or pains, headaches, cramps, or digestive problems Thoughts of death or suicide  Depression is a disorder of the brain."
C0018681,Headaches (Headache),Sign or Symptom,C0234238,Aches (Ache),Sign or Symptom,"Symptoms can include  Feeling sad or ""empty"" Loss of interest in favorite activities Overeating, or not wanting to eat at all Not being able to sleep, or sleeping too much Feeling very tired Feeling hopeless, irritable, anxious, or guilty Aches or pains, headaches, cramps, or digestive problems Thoughts of death or suicide  Depression is a disorder of the brain."
C0018681,Headaches (Headache),Sign or Symptom,C0221745,SUICIDAL DEPRESSION (DEPRESSION SUICIDAL),Mental or Behavioral Dysfunction,"Symptoms can include  Feeling sad or ""empty"" Loss of interest in favorite activities Overeating, or not wanting to eat at all Not being able to sleep, or sleeping too much Feeling very tired Feeling hopeless, irritable, anxious, or guilty Aches or pains, headaches, cramps, or digestive problems Thoughts of death or suicide  Depression is a disorder of the brain."
C0018681,Headaches (Headache),Sign or Symptom,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"Symptoms can include  Feeling sad or ""empty"" Loss of interest in favorite activities Overeating, or not wanting to eat at all Not being able to sleep, or sleeping too much Feeling very tired Feeling hopeless, irritable, anxious, or guilty Aches or pains, headaches, cramps, or digestive problems Thoughts of death or suicide  Depression is a disorder of the brain."
C0018681,Headaches (Headache),Sign or Symptom,C0851121,digestive problems (digestive problem),Sign or Symptom,"Symptoms can include  Feeling sad or ""empty"" Loss of interest in favorite activities Overeating, or not wanting to eat at all Not being able to sleep, or sleeping too much Feeling very tired Feeling hopeless, irritable, anxious, or guilty Aches or pains, headaches, cramps, or digestive problems Thoughts of death or suicide  Depression is a disorder of the brain."
C0234238,Aches (Ache),Sign or Symptom,C0221745,SUICIDAL DEPRESSION (DEPRESSION SUICIDAL),Mental or Behavioral Dysfunction,"Symptoms can include  Feeling sad or ""empty"" Loss of interest in favorite activities Overeating, or not wanting to eat at all Not being able to sleep, or sleeping too much Feeling very tired Feeling hopeless, irritable, anxious, or guilty Aches or pains, headaches, cramps, or digestive problems Thoughts of death or suicide  Depression is a disorder of the brain."
C0234238,Aches (Ache),Sign or Symptom,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"Symptoms can include  Feeling sad or ""empty"" Loss of interest in favorite activities Overeating, or not wanting to eat at all Not being able to sleep, or sleeping too much Feeling very tired Feeling hopeless, irritable, anxious, or guilty Aches or pains, headaches, cramps, or digestive problems Thoughts of death or suicide  Depression is a disorder of the brain."
C0234238,Aches (Ache),Sign or Symptom,C0851121,digestive problems (digestive problem),Sign or Symptom,"Symptoms can include  Feeling sad or ""empty"" Loss of interest in favorite activities Overeating, or not wanting to eat at all Not being able to sleep, or sleeping too much Feeling very tired Feeling hopeless, irritable, anxious, or guilty Aches or pains, headaches, cramps, or digestive problems Thoughts of death or suicide  Depression is a disorder of the brain."
C0221745,SUICIDAL DEPRESSION (DEPRESSION SUICIDAL),Mental or Behavioral Dysfunction,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"Symptoms can include  Feeling sad or ""empty"" Loss of interest in favorite activities Overeating, or not wanting to eat at all Not being able to sleep, or sleeping too much Feeling very tired Feeling hopeless, irritable, anxious, or guilty Aches or pains, headaches, cramps, or digestive problems Thoughts of death or suicide  Depression is a disorder of the brain."
